Year,Month,Scheme_Name,No_of_Schemes,No_of_Folios,Funds_Mobilized,Redemption,Net_Inflow,AUM,AAUM
2023,April,Overnight Fund,32.0,659479.0,377180.35506268,371073.00994613,6107.34511655004,102344.65470503,115719.43140006
2023,April,Liquid Fund,36.0,1775399.0,312871.76670117,249652.43616751,63219.33053366,397785.67131063,426709.74782756
2023,April,Ultra Short Duration Fund,25.0,632337.0,21919.18676602,11256.58860279,10662.59816323,90295.36696773,87453.31292162
2023,April,Low Duration Fund,21.0,935894.0,11249.14395828,5785.89097874,5463.25297954,92765.18675964,89949.11289479
2023,April,Money Market Fund,22.0,422740.0,31153.72519889,17192.7684665,13960.95673239,122783.89091347,119131.92411637
2023,April,Short Duration Fund,25.0,504524.0,3348.53500627,1565.73088813,1782.80411814,94187.95032038,93213.23151128
2023,April,Medium Duration Fund,15.0,255984.0,514.1831753,508.52704498,5.65613031999999,27387.94500956,27268.21491519
2023,April,Medium to Long Duration Fund,12.0,106795.0,665.13072682,66.85999137,598.27073545,9610.2960015,9269.26534766
2023,April,Long Duration Fund,7.0,46138.0,123.72858897,54.04252681,69.68606216,9037.4809255,8905.1095634
2023,April,Dynamic Bond Fund,22.0,230966.0,595.05719768,233.0707963,361.98640138,30010.04882667,29724.84652432
2023,April,Corporate Bond Fund,21.0,613934.0,2900.40624034,2848.12641241,52.27982793,132770.8735227,132173.38838332
2023,April,Credit Risk Fund,15.0,243984.0,85.34782121,441.46304905,-356.11522784,24687.65351279,24783.33207899
2023,April,Banking and PSU Fund,23.0,295048.0,1033.03660202,1182.5524523,-149.51585028,81129.06282615,80713.59489308
2023,April,Gilt Fund,22.0,177311.0,690.49524798,255.99258739,434.50266059,22170.54366799,21906.46083866
2023,April,Gilt Fund with 10 year constant duration,5.0,42343.0,582.91201494,29.34710143,553.56491351,4380.60183406,4188.66717542
2023,April,Floater Fund,13.0,234702.0,5741.67238419,1830.91150696,3910.76087723,57358.85355795,55050.00516821
2023,April,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316.0,7177578.0,770654.6826927603,663977.3185187998,106677.36417396006,1298706.08066175,1326159.6455599302
2023,April,Multi Cap Fund,19.0,4174058.0,1225.71274751,1019.43935669,206.27339082,70518.48282583,68925.9642548
2023,April,Large Cap Fund,31.0,12955752.0,2706.71817102,2654.09282824,52.6253427800002,244610.91549428,240355.41240213
2023,April,Large & Mid Cap Fund,26.0,7844968.0,2316.56217345,1577.85277309,738.70940036,133689.14622641,130685.16479796
2023,April,Mid Cap Fund,29.0,10695532.0,3677.10537454,1886.12800299,1790.97737155,192564.4612859,188004.13652728
2023,April,Small Cap Fund,24.0,11125117.0,3592.69680713,1410.2522779,2182.44452923,142211.57106441,138013.18601447
2023,April,Dividend Yield Fund,9.0,730675.0,312.604053,190.0257548,122.5782982,14471.62470313,14217.63850792
2023,April,Value Fund/Contra Fund,22.0,4714942.0,1254.75149303,963.65542797,291.09606506,94049.63298523,92198.80550832
2023,April,Focused Fund,26.0,5296509.0,1328.53166904,1459.44121794,-130.9095489,102984.97843682,100890.19937473
2023,April,Sectoral/Thematic Funds,127.0,13228388.0,4233.46891665,3619.02602707,614.44288958,178977.87566074,175198.96716434
2023,April,ELSS,42.0,15279990.0,1523.08607917,1461.92654431,61.1595348599999,157972.08524315,154787.61749019
2023,April,Flexi Cap Fund,35.0,12715541.0,3230.27228971,2679.37466258,550.89762713,252500.26260575,246916.99247778
2023,April,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),390.0,98761472.0,25401.50977425,18921.21487358,6480.294900670001,1584551.03653165,1550194.08451992
