Year,Month,BSE_Equity_Value,NSE_Equity_Value,Total_Equity_Settlement_Value
2024,August,118735.49,549605.7,668341.19
2024,September,116491.49,521852.58,638344.07
2024,October,94956.1,418657.13,513613.23
2024,November,71132.02,327020.22,398152.24
2024,December,86393.67,403962.37,490356.04
2025,January,75050.42,342913.19,417963.61
2025,February,55814.44,243120.1,298934.54
2025,March,76565.95,312516.91,389082.86
2025,April,67914.87,343819.12,411733.99
2025,May,83435.24,442889.28,526324.52
2025,June,95237.53,496934.93,592172.46
2025,July,100553.54,431372.51,531926.05
2025,August,78870.18,309042.96,387913.14
2025,September,103513.49,403186.65,506700.14
2025,October,101458.77,425754.46,527213.23
2025,November,87930.24,360320.91,448251.15
2025,December,105369.55,372878.14,478247.69
2026,January,118298.58,436465.32,554763.9
2026,February,100801.63,440820.82,541622.45
2026,March,97781.93,360762.69,458544.62
2026,April,109510.14,496056.42,605566.56
2026,May,99413.379,472450.887,571864.266
2026,June,116733.1221502,537720.9358946,654454.0580448
2026,July,104039.3883303,550336.4795477,654375.867878
2026,August,97642.1685,550931.3903,648573.5588
